르꼬끄 리치알트 129,000 https://www.lecoqsportif.co.kr/
디스커버리익스페디션 브릭 109,000 https://www.discovery-expedition.com/
반스 올드스쿨 블랙 69,000 https://www.vans.co.kr/
아디다스 오즈위고 브라운 129,000 https://shop.adidas.co.kr/ 
아디다스 스탠스미스 109,000 https://shop.adidas.co.kr/
리복 로얄브릿지 79,000 https://shop.reebok.co.kr/
컨버스 런스타하이크 109,000 https://www.converse.co.kr/
컨버스 척테일러 올스타 캔버스 리프트 화이트 75,000 https://www.converse.co.kr/
커버낫 커버네이비 79,000  https://www.covernat.net/
필라 룰즈 69,000 https://www.fila.co.kr/
필라 엘리트코트 49,000 https://www.fila.co.kr/
나이키 에어포스원 크레이터 139,000 https://www.nike.com/

